posemo,anx,anger,sad,affiliation
45.24,4.76,0,2.38,5.26
70.59,0,0,3.92,17.39
26.83,12.2,4.88,9.76,0
69.35,1.61,0,9.68,28.57
65.38,1.92,0,1.92,8.33
21.57,17.65,11.76,13.73,0
39.39,6.06,3.03,0,0
42.22,2.22,0,4.44,2.56
66.67,0,0,0,7.14
41.67,16.67,4.17,4.17,4.88
32.26,6.45,3.23,22.58,0
46.74,8.7,2.17,10.87,5.81
17.78,11.11,4.44,42.22,2.44
50,0,4.76,9.52,2.7
58.33,0,0,0,3.23
30.95,2.38,0,33.33,5.56
26.67,20,0,20,5.13
64.15,1.89,7.55,0,0
48.57,0,0,8.57,0
52.38,0,0,19.05,13.89
46.67,6.67,0,8.89,0
33.33,15.38,2.56,7.69,0
39.58,14.84,1.06,18.02,1.44
19.44,19.44,2.78,13.89,0
30.43,10.87,0,19.57,0
45.9,9.84,1.64,6.56,3.57
32.81,14.06,0,21.88,0
33.33,19.44,0,19.44,6.45
15.38,5.13,0,33.33,0
80,0,2,2,22.22
21.43,21.43,0,21.43,0
54.55,0,0,6.06,9.84
47.06,0,3.92,3.92,4.26
30.3,3.03,0,9.09,0
33.33,0,9.09,15.15,0
52.08,4.17,0,2.08,0
32.43,2.7,10.81,8.11,0
18.18,15.91,2.27,38.64,0
60,6.67,0,2.22,2.5
27.08,22.92,4.17,12.5,4.65
55.81,0,0,0,5.26
28.95,13.16,5.26,13.16,0
28.02,11.67,9.34,11.67,1.98
19.44,11.11,2.78,19.44,0
41.67,2.78,0,2.78,0
51.47,8.82,0,22.06,6.25
47.06,0,0,0,0
36.36,0,0,3.03,0
36.11,0,0,11.11,3.23
42.86,0,0,0,4.17
11.76,38.24,5.88,5.88,0
10,20,3.33,43.33,1.85
10.64,19.15,14.89,10.64,0
30.43,4.35,2.17,8.7,0
5.26,21.05,10.53,28.95,0
10.34,24.14,5.17,31.03,0
35.14,13.51,0,5.41,6.06
31.43,11.43,2.86,22.86,3.23
53.57,0,0,14.29,4
25.71,11.43,0,14.29,0
22.92,16.67,4.17,25,0
22.89,23.95,13.16,14.21,1.86
54.29,5.71,0,0,6.45
6.98,30.23,0,51.16,0
45.28,5.66,1.89,5.66,4.26
33.33,15.56,4.44,13.33,5
33.33,10.26,5.13,10.26,0
51.35,5.41,0,2.7,3.03
50,0,3.12,0,0
60.78,0,0,7.84,4.35
22.22,20.63,4.76,36.51,3.39
9.52,21.43,4.76,33.33,0
39.13,15.22,0,0,0
42.86,8.16,2.04,4.08,2.33
48.89,0,8.89,0,0
41.3,2.17,0,4.35,2.38
19.44,19.44,5.56,16.67,0
40,0,0,0,0
57.58,3.03,0,3.03,0
58.7,0,0,4.35,0
11.48,31.15,16.39,18.03,0
30.23,13.95,0,16.28,0
39.02,7.32,0,9.76,0
44.9,4.08,0,0,2.38
13.79,0,6.9,6.9,0
69.7,0,0,0,44.83
77.5,0,0,0,0
25,25,2.5,2.5,0
51.16,0,4.65,0,0
54.76,0,0,4.76,2.7
52.78,0,0,0,0
42,6,2,8,0
40,10,0,10,2.22
57.5,0,0,0,2.86
64.43,4.66,0.87,7.29,3.54
57.14,7.14,0,7.14,13.51
32.5,0,15,0,0
60.78,0,0,0,2.17
65.45,7.27,3.64,0,8
16.28,27.91,4.65,6.98,0
42.86,0,0,0,4.65
53.66,0,7.32,4.88,0
66.67,0,0,0,10
47.06,5.88,0,0,0
35.14,15.94,2.54,17.03,0.74
43.88,14.29,2.04,13.27,3.26
47.22,11.11,0,0,0
32.61,4.35,0,19.57,2.5
29.73,10.81,0,43.24,3.23
60.61,0,0,3.03,3.45
27.27,15.15,6.06,6.06,0
52.94,0,0,0,0
60.53,0,2.63,0,0
72.04,1.32,1.32,3.29,0.33
59.46,0,0,2.7,0
44.3,15.19,2.53,11.39,6.67
68,14,0,0,31.11
29.79,31.91,6.38,14.89,4.76
57.14,0,0,2.86,0
22.86,28.57,5.71,0,0
11.11,13.89,0,22.22,0
5.13,20.51,10.26,20.51,0
63.89,0,0,0,3.12
48,2,0,10,0
34.48,0,3.45,0,0
9.52,45.24,0,19.05,0
38.24,17.65,0,5.88,0
24.44,17.78,2.22,11.11,0
60,0,0,0,0
25,16.07,7.14,19.64,0
59.26,0,0,0,4.08
39.13,6.52,0,15.22,0
59.46,10.81,0,5.41,3.03
55.88,0,0,0,0
20.41,20.41,2.04,28.57,0
29.63,1.85,1.85,12.96,4
68.09,0,0,4.26,2.44
57.81,4.69,0,4.69,5.17
50,4,0,8,2.27
49.09,14.55,1.82,3.64,0
1.45,28.99,17.39,18.84,0
37.84,8.11,13.51,0,0
36.36,6.82,0,4.55,0
44.44,4.44,0,4.44,0
15.91,18.18,0,29.55,0
58.62,3.45,0,0,0
53.49,0,0,4.65,5.71
35.9,15.38,0,17.95,2.94
35.19,5.56,1.85,22.22,4.26
26.32,10.53,0,15.79,0
59.62,0,0,3.85,4.35
45.71,0,0,0,6.9
34.78,13.04,0,13.04,0
46.34,9.76,0,4.88,0
52.17,2.17,0,8.7,2.5
70.69,0,0,6.9,20.37
75,0,0,3.85,25.53
73.91,0,0,0,25
54.55,7.58,0,4.55,4.92
68.33,5,0,3.33,7.27
41.18,3.92,0,5.88,0
55.88,0,0,0,0
37.8,10.53,4.78,7.66,2.44
26.32,7.89,5.26,18.42,0
32,0,0,0,0
60,2.5,5,0,0
55.88,2.94,0,2.94,0
71.43,0,0,0,32.43
18.77,21.85,10.15,12.92,0.62
22.86,8.57,0,14.29,0
37.5,6.25,0,3.12,0
56.41,2.56,0,0,2.86
67.92,1.89,0,0,0
15,35,10,12.5,0
22.5,0,0,5,0
41.03,7.69,0,7.69,2.94
33.33,18.52,1.85,14.81,4.08
39.62,7.55,3.77,13.21,6.12
53.85,0,0,5.13,2.94
34.87,21.01,6.72,13.03,3.83
59.46,5.41,0,5.41,6.25
58.33,5.56,0,2.78,6.45
63.41,0,0,2.44,2.7
51.81,7.23,2.41,7.23,8.86
58.97,5.13,0,0,6.06
83.33,0,0,0,6.45
40.54,5.41,0,0,5.88
45.45,3.03,6.06,9.09,0
40.48,9.52,0,14.29,5.41
43.33,15,3.33,8.33,3.64
17.39,21.74,15.22,2.17,0
53.66,4.88,0,0,2.7
58.82,8.82,0,0,0
38.89,2.78,0,5.56,0
32.73,9.09,1.82,18.18,1.96
43.9,2.44,0,0,2.78
55,0,0,2.5,17.14
17.5,20,2.5,35,0
38.64,9.09,0,20.45,12.2
42.5,5,15,7.5,5.56
26.32,21.05,0,26.32,0
29.51,9.84,3.28,9.84,1.79
51.72,6.9,2.3,9.2,2.47
57.58,12.12,3.03,0,0
35.56,11.11,0,6.67,0
29.73,21.62,0,5.41,0
49.06,0,0,5.66,17.02
57.45,2.13,0,0,4.88
38.24,2.94,0,0,0
39.93,19.45,1.37,12.97,2.79
37.21,9.3,0,25.58,0
25,29.55,0,9.09,5.13
7.14,37.14,7.14,30,1.52
66.67,0.96,0,1.6,2.93
56.36,3.64,0,9.09,2.04
38.1,0,4.76,9.52,5.26
20,26,4,16,4.55
73.47,4.08,2.04,0,20.45
27.03,8.11,0,16.22,0
40.82,2.04,0,8.16,4.55
30.3,6.06,0,18.18,0
32.43,5.41,2.7,5.41,0
63.46,0,0,0,13.04
77.27,0,0,0,5.13
41.67,2.78,0,13.89,0
55.56,7.41,0,0,0
42.31,0,0,0,0
62.3,0,0,0,20
54.55,9.09,9.09,3.03,6.67
37.14,17.14,2.86,11.43,0
70.83,0,0,2.08,6.98
67.57,0,0,2.7,9.38
57.89,0,0,10.53,6.06
62.28,2.42,0.35,8.3,6.32
63.4,4.53,0,3.02,1.54
27.08,18.75,2.08,8.33,2.27
79.63,0,0,0,9.8
45.71,0,0,11.43,3.23
42.5,8.75,2.5,10,3.95
45.98,9.2,2.3,9.2,2.5
18.52,3.7,7.41,14.81,0
32.43,2.7,0,10.81,3.03
29.03,3.23,3.23,9.68,3.7
30.3,6.06,0,3.03,0
41.46,0,0,7.32,0
34.88,11.63,4.65,4.65,2.56
66.67,0,0,0,4.35
42.86,6.12,0,8.16,2.27
26.67,10,0,3.33,0
43.18,11.36,0,2.27,2.5
23.53,27.06,5.88,17.65,2.47
47.62,4.76,0,4.76,7.89
31.25,9.38,0,9.38,3.57
50.98,3.92,0,3.92,2.22
51.52,0,0,6.06,3.45
50,5.88,0,0,3.33
29.12,20.69,3.07,20.31,0
8.82,32.35,0,26.47,0
32.26,19.35,0,3.23,0
47.46,3.39,0,11.86,1.85
36.84,0,7.89,0,3.03
52.63,0,0,0,3.03
55.47,4.05,2.02,4.86,1.23
54.55,6.06,0,3.03,0
70.83,4.17,0,0,41.86
57.14,0,3.57,3.57,0
71.74,0,0,0,29.27
57.78,0,0,2.22,5.13
50,0,0,9.52,8.11
23.08,0,0,0,0
31.43,5.71,0,0,0
59.46,0,0,16.22,3.03
33.33,8.33,2.78,2.78,0
63.64,5.45,1.82,7.27,32
66.67,4.76,0,2.38,13.51
56.76,0,2.7,0,0
42.59,11.11,1.85,14.81,2.04
66.67,0,0,3.51,4.48
78.38,0,0,0,6.06
66.67,0,0,0,5.13
73.17,0,0,0,8.57
52.78,0,2.78,0,0
33.33,9.09,0,33.33,6.9
38.46,0,0,10.26,0
63.04,0,0,0,4.88
47.22,8.33,8.33,0,3.03
45.45,9.09,6.06,0,0
14.04,25.11,11.91,13.62,0.86
77.5,0,0,0,2.78
54.55,2.27,0,4.55,0
64.52,6.45,0,0,8
26.47,20.59,5.88,11.76,0
30.3,6.06,0,0,14.29
12.77,38.3,4.26,10.64,0
26.47,29.41,2.94,14.71,3.45
24.56,22.81,3.51,8.77,0
42.42,6.06,9.09,3.03,0
36.67,13.33,0,0,0
71.79,2.56,0,2.56,5.71
50.88,7.02,0,9.36,0.6
50,9.94,1.55,14.91,6.33
32.88,16.44,4.11,15.07,2.99
31.25,3.12,3.12,9.38,0
46.88,0,0,0,0
82.61,0,0,0,18.46
47.5,5,0,12.5,2.86
0,30.95,2.38,11.9,0
28.57,7.14,0,7.14,0
53.19,0,0,0,4.76
48.64,12.93,1.7,7.14,0.35
53.06,2.04,0,2.04,4.65
72.22,0,0,0,0
25.64,12.82,5.13,7.69,5.88
11.11,22.22,2.78,13.89,0
58.14,0,0,0,0
51.06,0,2.13,0,2.38
56.41,0,0,0,5.88
57.89,3.51,0,3.51,1.92
50,5.05,0.92,7.34,0.47
36.67,6.67,0,0,0
0,39.13,0,34.78,0
18.18,20.45,4.55,34.09,0
62.5,0,5,0,5.41
41.03,15.38,2.56,0,0
46.51,0,2.33,4.65,2.7
44.74,2.63,7.89,5.26,0
24.32,16.22,0,16.22,0
58.49,7.55,0,5.66,2.08
63.93,6.56,0,6.56,22.41
45.95,8.11,0,2.7,0
47.37,12.28,0,12.28,5.88
67.3,5.66,0.63,7.55,12.74
44.44,9.52,0,12.7,3.45
25.53,4.26,0,42.55,11.63
65.38,3.85,0,0,21.74
64.29,1.79,0,16.07,23.53
78.72,0,0,0,16.28
34.21,0,5.26,0,0
81.58,5.26,0,0,50
62.71,5.08,0,0,9.09
51.16,0,0,9.3,0
77.14,0,0,0,16.67
19.51,34.15,0,17.07,2.7
70.45,0,0,0,10.53
29.63,0,0,0,0
45.45,0,0,9.09,0
51.02,10.2,2.04,4.08,4.65
54.55,6.06,0,0,0
45.65,0,0,10.87,2.38
52.5,5,0,0,0
4.35,36.96,0,32.61,0
35.9,17.95,10.26,10.26,2.94
37.78,24.44,2.22,11.11,0
51.35,0,5.41,0,0
62.93,3.09,7.72,3.09,6.27
18.64,13.02,13.91,20.41,1.2
28.12,20.31,0,17.19,0
64.52,0,0,0,0
37.5,15,0,7.5,2.78
38.24,2.94,0,2.94,0
54.05,0,0,0,0
27.72,20.13,2.31,25.08,0.67
58.93,0,0,3.57,0
50,0,0,13.89,3.33
68.29,0,0,0,5.56
66.27,3.92,0,1.18,6.8
37.5,5,7.5,10,0
67.86,0,0,7.14,19.23
32.26,12.9,0,16.13,0
42.42,0,6.06,6.06,0
52.78,5.56,0,5.56,0
30.56,19.44,2.78,5.56,0
31.11,13.33,2.22,13.33,0
60,3.08,0,7.69,6.78
51.97,10.24,1.18,8.66,2.8
57.78,0,0,0,5.13
52.38,0,0,0,0
69.23,2.56,0,2.56,8.57
52.54,10.17,0,1.69,3.64
14.29,20,8.57,25.71,0
40,6.67,0,0,0
40.54,13.51,0,2.7,2.94
37.5,10,2.5,0,0
60.87,13.04,2.17,0,7.5
14.29,20.41,8.16,22.45,0
30.77,7.69,5.13,7.69,2.94
23.08,23.08,0,21.15,2.13
12,34,20,4,0
59.09,4.55,0,6.82,5.26
23.46,28.21,2.79,19.83,2.26
32.61,0,0,15.22,0
65,0,0,0,2.78
54,6,2,6,4.35
65.91,0,0,0,0
34.21,0,0,18.42,0
13.05,27.15,2.09,45.43,1.32
41.46,7.32,0,2.44,0
62.12,0,0,7.58,27.87
60.98,2.44,0,4.88,16.67
30.43,6.52,0,30.43,0
51.43,0,0,0,0
50,0,0,0,0
56,6,2,2,4.44
39.39,3.03,0,6.06,0
52.94,2.94,0,11.76,0
42.86,5.71,0,5.71,0
61.14,2.59,0.52,6.74,2.67
44.23,15.38,5.77,9.62,4.17
36.59,4.88,0,4.88,0
47.06,2.94,0,0,0
59.57,0,0,2.13,7.32
44.26,8.2,1.64,8.2,7.02
44.44,8.33,11.11,2.78,0
48.08,5.77,0,7.69,0
61.11,0,0,0,0
39.29,19.05,2.38,8.33,5
5.56,31.48,1.85,37.04,0
43.18,9.09,0,11.36,0
34.09,13.64,0,0,2.56
72.85,2.06,0,3.09,4.18
61.9,4.76,0,3.17,0
55.56,0,0,8.33,3.33
36.39,17.22,5.28,14.17,3.1
16.33,24.67,4.67,29.33,0
15,15,0,37.5,0
56.41,5.13,0,0,0
18.18,12.12,6.06,3.03,0
27.91,13.95,9.3,25.58,0
14.81,24.07,0,31.48,0
45.24,0,2.38,4.76,0
57.5,12.5,0,0,2.78
46.15,7.69,0,11.54,0
36.21,15.52,0,12.07,0
38.46,2.56,7.69,7.69,0
11.86,33.9,10.17,22.03,0
21.62,16.22,0,35.14,0
58.14,0,0,0,5.13
34.69,10.2,6.12,4.08,0
25.71,5.71,0,14.29,0
25.71,20,0,22.86,0
30.23,0,0,6.98,0
25,13.89,2.78,11.11,0
52.78,5.56,0,5.56,3.23
42.42,9.09,0,3.03,0
39.02,7.32,2.44,7.32,0
68.97,0,1.72,0,34.62
54.69,9.38,1.56,1.56,0
63.16,0,0,5.26,0
47.73,4.55,2.27,9.09,7.69
56.76,0,0,0,0
22.03,16.95,23.73,6.78,0
65.38,0,0,0,8.51
51.22,0,0,0,0
51.47,6.19,0.98,8.47,3.64
67.86,3.57,0,3.57,8
37.21,2.33,0,6.98,2.56
26.19,2.38,0,42.86,0
43.14,13.73,1.96,1.96,6.52
59.18,4.08,0,0,4.65
47.27,18.18,0,10.91,6
52.78,5.56,0,5.56,9.68
50,2.08,0,8.33,2.33
43.86,1.75,1.75,14.04,0
47.17,7.55,0,7.55,2.08
37.14,20,0,11.43,0
85.03,1.02,0,2.04,16.84
11.9,30.95,19.05,0,0
39.66,12.07,0,27.59,12.96
28,16,7.67,19.67,0.68
53.19,6.38,2.13,4.26,0
18.92,21.62,0,27.03,0
17.07,29.27,4.88,19.51,0
23.08,17.95,5.13,5.13,0
34.21,10.53,0,31.58,0
57.58,3.03,0,15.15,0
15,31.67,8.33,20,0
70.18,0,0,1.75,14
76.19,3.17,1.59,1.59,28.07
57.14,7.94,1.59,9.52,16.07
61.9,0,0,0,10.81
14.29,17.86,3.57,17.86,4
44.12,11.76,0,2.94,6.67
34.48,3.45,3.45,0,0
28.57,5.71,2.86,8.57,3.33
65.96,6.38,0,0,0
46.51,0,4.65,6.98,0
52.17,0,0,0,0
42.42,6.06,0,0,0
40.74,11.11,0,0,0
20,24,20,10,0
11.36,40.91,9.09,18.18,0
53.49,4.65,0,4.65,2.63
48.72,0,0,7.69,0
59.02,4.92,0,9.84,0
76.74,0,0,4.65,0
42.42,3.03,0,12.12,0
32.43,10.81,0,10.81,0
48.48,6.06,12.12,0,0
30.77,7.69,0,10.26,0
52.63,2.63,2.63,0,2.94
58.14,0,2.33,2.33,0
71.79,0,0,0,0
64.58,4.17,0,0,9.52
35.14,13.51,0,5.41,0
24.39,17.07,0,4.88,0
79.03,1.61,0,0,10.17
43.75,16.67,0,6.25,6.82
51.22,0,0,0,8.33
28.12,6.25,3.12,25,3.7
58.33,0,4.17,6.25,4.55
38.89,16.67,3.7,3.7,4.08
77.42,0,0,0,5.17
65.85,0,4.88,0,0
75,0,0,0,19.05
60,6.67,0,0,7.5
57.14,0,0,2.86,0
46.47,11.96,1.36,9.78,4.96
25,2.5,0,20,0
38.64,9.09,6.82,11.36,5
48.89,4.44,0,2.22,0
72.5,2.5,0,0,17.65
64.58,0,0,2.08,0
55.77,5.77,3.85,5.77,8.16
32,0,0,14,0
51.85,0,0,0,0
71.11,0,0,0,0
12,20,0,20,0
48.57,2.86,0,0,6.67
50,6.67,3.33,6.67,0
57.78,2.22,0,0,10
51.28,0,0,2.56,0
42.86,14.29,2.86,2.86,12.5
44.44,11.11,1.85,11.11,2.08
45,2.5,0,7.5,0
40.54,10.81,0,18.92,0
63.41,2.44,0,4.88,5.56
60,0,0,5,0
69.23,0,0,0,8.51
26.47,32.35,0,2.94,0
34.78,17.39,17.39,0,0
64.86,5.41,0,2.7,3.03
73.35,1.5,0,3.29,9.42
49.8,9.64,0,11.65,3.28
68.42,0,0,0,41.18
80,0,0,0,46.34
54.72,0,0,3.77,10.42
50,2.94,0,0,0
60.71,5.36,0,5.36,9.8
56.9,0,0,0,10.2
50,11.11,2.78,5.56,0
50,2.63,0,0,0
70,7.5,0,0,11.11
71.26,1.64,0.47,6.78,12.11
61.9,7.94,0,0,8.62
65.79,5.26,0,5.26,6.31
65.71,0,0,5.71,0
46.15,0,0,2.56,0
42.22,8.89,0,4.44,0
19.05,26.98,7.94,17.46,1.69
18.87,20.75,0,22.64,2.04
57.58,0,0,0,0
36.11,5.56,5.56,0,0
38.71,0,0,0,0
24.32,2.7,2.7,10.81,3.12
55.77,0,0,5.77,10.64
47.83,4.35,2.17,15.22,0
44.23,5.77,1.92,9.62,2.17
33.33,2.38,2.38,11.9,2.7
48.57,8.57,0,0,0
59.68,8.06,0,3.23,19.3
55.26,2.63,5.26,5.26,0
36.11,8.33,0,8.33,0
40.62,6.25,0,6.25,0
31.43,0,2.86,14.29,0
22.5,12.5,2.5,5,0
63.27,5.25,1.54,4.63,2.82
39.47,7.89,2.63,2.63,0
53.49,2.33,2.33,9.3,10.26
31.03,6.9,0,6.9,0
61.54,0,0,0,0
36.36,0,0,9.09,0
32.61,9.78,2.17,11.96,3.49
71.11,4.44,0,4.44,7.5
15.79,18.42,10.53,26.32,5.88
55.81,2.33,0,2.33,0
65,1.67,1.67,1.67,18.18
42,2,0,8,0
27.59,0,0,6.9,0
16.67,21.43,0,4.76,0
19.61,11.76,5.88,29.41,4.35
58.17,4.33,1.92,1.92,0.98
37.04,14.81,1.85,11.11,0
31.14,19.74,3.51,10.96,0.9
76.27,1.69,0.85,2.12,8.62
34.78,13.04,4.35,21.74,0
44.74,7.89,10.53,0,0
45.83,4.17,0,6.25,2.38
10.91,23.64,0,47.27,0
43.48,10.87,2.17,6.52,4.88
43.59,5.13,2.56,0,3.03
66.67,3.03,0,6.06,6.9
66.67,0,0,3.92,4.35
61.54,5.49,2.2,5.49,11.76
71.43,0,0,0,12
58,0,0,10,0
60.98,0,0,0,0
75.51,0,0,0,15.22
50,7.89,2.63,5.26,0
58.14,0,0,2.33,0
61.54,0,0,0,0
59.52,0,0,14.29,10.26
12.2,36.59,12.2,14.63,0
65.12,0,0,2.33,0
55.56,0,0,9.26,2
48.72,6.41,2.56,8.97,2.7
61.11,0,0,0,0
75,0,0,0,20.75
63.16,5.26,0,3.51,5.66
49.85,4.62,0,4.62,0.94
65.52,0,0,1.72,15.09
76.74,0,0,0,11.11
39.47,15.79,0,15.79,3.12
39.29,7.14,0,17.86,2.08
23.68,13.16,7.89,7.89,0
51.43,0,0,0,0
52.08,4.17,2.08,6.25,2.38
44.74,13.16,0,10.53,0
66.67,0,0,0,0
65.56,4.13,1.1,3.86,3.92
72.97,0,0,0,0
56.41,0,0,2.56,0
17.95,48.72,2.56,7.69,0
61.02,5.08,0,6.78,5.45
48.15,12.96,0,12.96,4.08
50,6.25,0,16.67,9.3
67.8,10.17,1.69,3.39,3.77
17.95,33.33,5.13,10.26,0
46.15,5.13,0,2.56,3.03
30.22,23.05,7.17,8.1,2.52
40,5.71,0,17.14,0
68.29,0,0,0,0
53.66,2.44,0,0,2.78
16.28,20.93,9.3,20.93,2.56
50,0,2.27,22.73,0
22.22,13.33,2.22,11.11,0
33.87,6.45,0,17.74,1.75
50.98,13.73,1.96,5.88,0
57.89,5.26,0,2.63,3.03
40,5,2.5,2.5,5.56
48.39,6.45,0,3.23,0
44.44,0,0,0,0
53.12,0,0,3.12,20.69
73.47,8.16,0,0,39.13
11.11,14.81,0,7.41,4.55
0,29.41,19.61,21.57,0
61.11,1.85,0,5.56,0
27.59,6.9,0,1.72,5.56
57.58,0,0,0,0
60,8.33,0,1.67,8.77
8.11,29.73,16.22,13.51,2.94
65.79,0,0,0,5.88
48.57,0,5.71,0,13.33
81.08,0,0,0,0
19.61,13.73,1.96,9.8,0
74.07,0,1.85,1.85,12
68,0,0,0,0
50,0,0,12.5,2.27
25.58,0,4.65,51.16,10.26
67.57,0,0,0,3.12
0,21.43,4.76,59.52,0
43.86,8.77,1.75,7.02,3.85
54.05,2.7,0,10.81,2.94
50.91,12.73,5.45,14.55,30
67.44,0,0,0,28.21
57.89,0,0,0,9.09
40,4,0,12,2.22
38,4,0,14,0
35.14,10.81,0,16.22,0
70,0,0,0,9.09
42.5,10,2.5,0,2.78
52.78,0,0,5.56,0
11.9,21.43,23.81,2.38,0
60.53,0,0,0,2.94
36.56,14.52,2.15,18.82,1.65
28.89,20,2.22,13.33,0
44.12,11.76,0,5.88,0
21.62,16.22,0,18.92,0
42.11,5.26,18.42,2.63,0
59.38,3.12,3.12,0,0
32.5,17.5,0,7.5,0
32.35,14.71,0,14.71,23.33
29.03,25.81,0,6.45,0
48.89,6.67,0,4.44,2.44
16.18,23.65,11.2,10.79,0.84
51.35,5.41,0,0,20.59
56.41,10.26,0,2.56,5.88
70.27,0,0,0,28.12
53.85,0,0,11.54,0
63.64,6.06,0,0,3.45
45.76,5.08,0,15.25,7.41
47.49,3.86,0.77,2.7,1.18
54.8,5.08,1.13,6.78,2.89
37.14,8.57,11.43,0,0
16.36,9.09,0,41.82,0
74,0,0,0,6.67
58.97,0,0,2.56,2.78
74.36,0,0,0,2.86
58.93,0,0,7.14,13.73
81.4,0,2.33,0,5.13
53.97,6.35,0,7.94,5
45.45,3.03,12.12,0,0
56.45,1.61,1.61,3.23,1.75
40.43,6.38,0,2.13,4.76
39.39,9.09,0,12.12,0
42.42,6.06,6.06,9.09,0
60.98,0,0,0,0
54.29,5.71,5.71,11.43,3.12
18.87,20.75,3.77,32.08,0
12.5,30,5,15,0
64.52,3.23,0,0,22.81
58.7,0,0,0,7.5
40,15,0,12.5,2.94
6.9,24.14,5.17,41.38,0
58.82,5.88,0,8.82,9.68
38.43,16.73,1.07,12.81,0.72
12.5,10,5,27.5,0
45.78,12.05,3.61,10.84,3.8
50,2.38,0,4.76,2.78
47.14,10,0,17.14,10.45
43.24,0,0,10.81,0
67.23,3.83,2.98,2.13,2.17
51.06,4.26,4.26,6.38,0
48.65,2.7,0,0,3.12
23.26,23.26,4.65,25.58,2.56
56.25,0,0,8.33,6.82
28.95,15.79,0,10.53,0
8.7,43.48,6.52,17.39,0
72,0,0,0,4.55
60.81,8.11,0,2.7,9.86
52.63,0,0,2.63,0
60.53,0,0,0,8.82
71.43,0,0,0,5.41
77.55,0,0,2.04,9.09
58.17,5.77,2.88,5.29,2.96
62.86,2.86,0,2.86,16.13
59.57,0,0,0,0
28.57,7.14,0,25,0
57.69,0,0,5.77,4.17
42.22,4.44,0,6.67,4.88
62.16,2.7,0,0,0
61.54,2.56,0,15.38,5.56
41.56,12.99,5.19,11.69,2.74
41.18,14.71,5.88,0,3.23
14.29,16.67,2.38,47.62,8.57
23.86,17.83,3.86,40.24,5.15
73.54,0.45,0,2.24,4.09
27.5,10,5,12.5,0
38,12,0,18,4.35
56,6,0,6,0
63.64,0,0,4.55,0
57.14,0,0,0,2.7
41.67,5.56,0,5.56,3.33
53.49,0,0,0,7.89
39.29,10.71,0,3.57,0
39.02,14.63,2.44,7.32,5.71
60,0,4.44,11.11,0
56.76,0,0,0,3.12
43.14,7.84,0,9.8,6.25
22.86,11.43,0,8.57,3.23
51.28,0,0,10.26,0
40,12,0,10,6.82
45.45,2.27,0,13.64,2.56
61.29,0,0,0,3.7
39.56,10.99,3.3,13.19,2.33
47.06,5.88,0,5.88,0
46.67,2.22,0,4.44,5
46.15,0,0,0,0
69.14,0.78,0,3.12,4.38
71.74,0,0,6.52,0
60.61,1.52,0,6.06,1.64
58.54,4.88,0,0,2.7
47.62,0,0,7.14,8.33
27.06,17.65,4.71,16.47,2.5
59.52,2.38,0,2.38,10.81
40.43,12.77,0,14.89,0
74.29,0,0,2.86,3.12
52.63,0,0,0,0
25,11.11,2.78,22.22,0
17.07,7.32,0,43.9,0
25.64,7.69,0,28.21,0
56.77,3.12,0,6.77,4.76
50,0,0,8.33,0
36.36,9.09,0,3.03,0
49.06,5.66,1.89,5.66,4.17
60,0,0,0,0
10.42,12.5,0,54.17,4.65
53.33,15,1.67,8.33,5.36
16.22,13.51,8.11,16.22,0
8.82,38.24,0,17.65,0
47.73,13.64,2.27,6.82,7.69
62.75,3.92,0,7.84,22.22
21.88,21.88,0,9.38,0
74.19,3.63,0.4,2.42,5.76
55.56,11.11,0,2.78,0
53.33,6.67,0,0,0
36.67,3.33,0,0,0
55.56,0,0,8.89,4.88
25,25,0,13.64,0
46.88,0,0,3.12,0
58.97,0,0,7.69,5.71
63.16,0,0,0,0
29.03,12.9,6.45,19.35,7.41
66.67,0,0,4.44,29.27
18.75,26.97,5.92,26.97,1
15.79,34.21,0,15.79,0
31.25,10.42,0,16.67,0
39.13,4.35,2.17,10.87,4.88
63.41,0,0,0,0
21.43,10.71,0,17.86,0
40.48,16.67,9.52,7.14,0
64.29,4.62,0.84,4.2,5.15
61.9,9.52,0,7.14,0
41.43,4.29,0,24.29,9.38
71.74,8.7,0,0,29.27
63.04,0,0,13.04,14.63
42.11,8.42,2.11,12.63,11.11
42.86,0,0,0,2.7
37.78,11.11,0,28.89,0
21.43,14.29,1.79,42.86,7.84
45.45,0,0,0,7.14
40.54,5.41,0,0,0
73.91,0,0,0,15.38
58.14,4.07,0,2.91,1.8
34.29,14.29,2.86,2.86,0
13.89,19.44,11.11,16.67,0
48.94,4.26,4.26,4.26,4.88
21.95,19.51,9.76,19.51,2.7
46.55,12.07,0,17.24,3.77
60.89,4.89,0.44,4,2.26
67.6,1.2,2.4,3.6,1.22
64.1,2.56,0,5.13,17.65
51.85,0,0,7.41,6.12
51.22,7.32,0,9.76,5.71
25,18.75,0,20.31,0
36.84,15.79,0,7.89,3.03
31.37,7.84,1.96,17.65,0
30.23,2.33,0,11.63,0
68.57,0,0,0,12.9
16.28,25.58,0,44.19,0
61.11,2.78,0,5.56,3.12
26.67,3.33,0,36.67,0
53.12,0,0,3.12,0
50,3.85,1.92,9.62,2.17
41.03,0,5.13,0,0
26.32,10.53,2.63,26.32,0
58,4,0,14,12.77
35.29,11.76,0,0,0
22.92,20.83,12.5,14.58,0
44.57,6.59,2.33,3.88,0
61.29,0,0,3.23,0
58.49,5.66,0,1.89,6.12
